,model,animal,accuracy
447,top_model_weights_no_3d,bear,0.5
448,top_model_weights_no_3d,bear,0.51
449,top_model_weights_no_3d,bear,0.565
450,top_model_weights_no_3d,bear,0.515
451,top_model_weights_no_3d,bear,0.525
452,top_model_weights_no_3d,bear,0.51
453,top_model_weights_no_3d,bear,0.615
454,top_model_weights_no_3d,bear,0.565
455,top_model_weights_no_3d,bear,0.545
456,top_model_weights_no_3d,bear,0.595
457,top_model_weights_no_3d,bear,0.545
458,top_model_weights_no_3d,bear,0.54
459,top_model_weights_no_3d,bear,0.505
460,top_model_weights_no_3d,bear,0.535
461,top_model_weights_no_3d,bear,0.515
462,top_model_weights_no_3d,bear,0.605
463,top_model_weights_no_3d,bear,0.565
464,top_model_weights_no_3d,bear,0.545
465,top_model_weights_no_3d,bear,0.585
466,top_model_weights_no_3d,bear,0.49
467,top_model_weights_no_3d,bear,0.485
468,top_model_weights_no_3d,bear,0.55
469,top_model_weights_no_3d,bear,0.545
470,top_model_weights_no_3d,bear,0.555
471,top_model_weights_no_3d,bear,0.51
472,top_model_weights_no_3d,bear,0.555
473,top_model_weights_no_3d,bear,0.48
474,top_model_weights_no_3d,bear,0.535
475,top_model_weights_no_3d,bear,0.51
476,top_model_weights_no_3d,bear,0.62
477,top_model_weights_no_3d,bear,0.56
478,top_model_weights_no_3d,bear,0.535
479,top_model_weights_no_3d,bear,0.6
480,top_model_weights_no_3d,bear,0.545
481,top_model_weights_no_3d,bear,0.55
482,top_model_weights_no_3d,bear,0.5
483,top_model_weights_no_3d,bear,0.57
484,top_model_weights_no_3d,bear,0.5
485,top_model_weights_no_3d,bear,0.56
486,top_model_weights_no_3d,bear,0.575
487,top_model_weights_no_3d,bear,0.525
488,top_model_weights_no_3d,bear,0.545
489,top_model_weights_no_3d,bear,0.55
490,top_model_weights_no_3d,bear,0.55
491,top_model_weights_no_3d,bear,0.62
492,top_model_weights_no_3d,bear,0.52
493,top_model_weights_no_3d,bear,0.54
494,top_model_weights_no_3d,bear,0.555
495,top_model_weights_no_3d,bear,0.5
496,top_model_weights_no_3d,bear,0.595
497,top_model_weights_no_3d,bear,0.5
498,top_model_weights_no_3d,bear,0.565
499,top_model_weights_no_3d,bear,0.505
500,top_model_weights_with_3d,bear,0.61
501,top_model_weights_with_3d,bear,0.625
502,top_model_weights_with_3d,bear,0.595
503,top_model_weights_with_3d,bear,0.57
504,top_model_weights_with_3d,bear,0.65
505,top_model_weights_with_3d,bear,0.6
506,top_model_weights_with_3d,bear,0.6
507,top_model_weights_with_3d,bear,0.65
508,top_model_weights_with_3d,bear,0.65
509,top_model_weights_with_3d,bear,0.68
510,top_model_weights_with_3d,bear,0.66
511,top_model_weights_with_3d,bear,0.68
512,top_model_weights_with_3d,bear,0.675
513,top_model_weights_with_3d,bear,0.63
514,top_model_weights_with_3d,bear,0.63
515,top_model_weights_with_3d,bear,0.655
516,top_model_weights_with_3d,bear,0.695
517,top_model_weights_with_3d,bear,0.71
518,top_model_weights_with_3d,bear,0.64
519,top_model_weights_with_3d,bear,0.605
520,top_model_weights_with_3d,bear,0.685
521,top_model_weights_with_3d,bear,0.655
522,top_model_weights_with_3d,bear,0.63
523,top_model_weights_with_3d,bear,0.59
524,top_model_weights_with_3d,bear,0.66
525,top_model_weights_with_3d,bear,0.72
526,top_model_weights_with_3d,bear,0.665
527,top_model_weights_with_3d,bear,0.645
528,top_model_weights_with_3d,bear,0.64
529,top_model_weights_with_3d,bear,0.7
530,top_model_weights_with_3d,bear,0.63
531,top_model_weights_with_3d,bear,0.64
532,top_model_weights_with_3d,bear,0.64
533,top_model_weights_with_3d,bear,0.655
534,top_model_weights_with_3d,bear,0.64
535,top_model_weights_with_3d,bear,0.63
