,model,animal,accuracy
366,top_model_weights_with_3d,bear,0.655
367,top_model_weights_with_3d,bear,0.61
368,top_model_weights_with_3d,bear,0.615
369,top_model_weights_with_3d,bear,0.68
370,top_model_weights_with_3d,bear,0.69
371,top_model_weights_with_3d,bear,0.68
372,top_model_weights_with_3d,bear,0.68
373,top_model_weights_with_3d,bear,0.68
374,top_model_weights_with_3d,bear,0.72
375,top_model_weights_with_3d,bear,0.645
376,top_model_weights_with_3d,bear,0.65
377,top_model_weights_with_3d,bear,0.655
378,top_model_weights_with_3d,bear,0.67
379,top_model_weights_with_3d,bear,0.635
380,top_model_weights_with_3d,bear,0.65
381,top_model_weights_with_3d,bear,0.625
382,top_model_weights_with_3d,bear,0.67
383,top_model_weights_with_3d,bear,0.68
384,top_model_weights_with_3d,bear,0.675
385,top_model_weights_with_3d,bear,0.66
386,top_model_weights_with_3d,bear,0.675
387,top_model_weights_with_3d,bear,0.66
388,top_model_weights_with_3d,bear,0.635
389,top_model_weights_with_3d,bear,0.685
390,top_model_weights_with_3d,bear,0.63
391,top_model_weights_with_3d,bear,0.615
392,top_model_weights_with_3d,bear,0.675
393,top_model_weights_with_3d,bear,0.66
394,top_model_weights_with_3d,bear,0.625
395,top_model_weights_with_3d,bear,0.735
396,top_model_weights_with_3d,bear,0.655
397,top_model_weights_with_3d,bear,0.665
398,top_model_weights_with_3d,bear,0.605
399,top_model_weights_with_3d,bear,0.71
400,top_model_weights_with_3d,bear,0.685
401,top_model_weights_with_3d,bear,0.565
402,top_model_weights_with_3d,bear,0.57
403,top_model_weights_with_3d,bear,0.655
404,top_model_weights_with_3d,bear,0.635
405,top_model_weights_with_3d,bear,0.69
406,top_model_weights_with_3d,bear,0.62
407,top_model_weights_with_3d,bear,0.65
408,top_model_weights_with_3d,bear,0.69
409,top_model_weights_with_3d,bear,0.625
410,top_model_weights_with_3d,bear,0.69
411,top_model_weights_with_3d,bear,0.695
412,top_model_weights_with_3d,bear,0.655
413,top_model_weights_with_3d,bear,0.635
