,model,animal,accuracy
377,top_model_weights_no_3d,sheep,0.72
378,top_model_weights_no_3d,sheep,0.675
379,top_model_weights_no_3d,sheep,0.705
380,top_model_weights_no_3d,sheep,0.745
381,top_model_weights_no_3d,sheep,0.62
382,top_model_weights_no_3d,sheep,0.65
383,top_model_weights_no_3d,sheep,0.68
384,top_model_weights_no_3d,sheep,0.65
385,top_model_weights_no_3d,sheep,0.675
386,top_model_weights_no_3d,sheep,0.635
387,top_model_weights_no_3d,sheep,0.685
388,top_model_weights_no_3d,sheep,0.695
389,top_model_weights_no_3d,sheep,0.725
390,top_model_weights_no_3d,sheep,0.68
391,top_model_weights_no_3d,sheep,0.72
392,top_model_weights_no_3d,sheep,0.66
393,top_model_weights_no_3d,sheep,0.705
394,top_model_weights_no_3d,sheep,0.695
395,top_model_weights_no_3d,sheep,0.64
396,top_model_weights_no_3d,sheep,0.64
397,top_model_weights_no_3d,sheep,0.705
398,top_model_weights_no_3d,sheep,0.575
399,top_model_weights_no_3d,sheep,0.695
400,top_model_weights_no_3d,sheep,0.665
401,top_model_weights_no_3d,sheep,0.68
402,top_model_weights_no_3d,sheep,0.69
403,top_model_weights_no_3d,sheep,0.665
404,top_model_weights_no_3d,sheep,0.625
405,top_model_weights_no_3d,sheep,0.75
406,top_model_weights_no_3d,sheep,0.67
407,top_model_weights_no_3d,sheep,0.765
408,top_model_weights_no_3d,sheep,0.665
409,top_model_weights_no_3d,sheep,0.68
410,top_model_weights_no_3d,sheep,0.67
411,top_model_weights_no_3d,sheep,0.74
412,top_model_weights_no_3d,sheep,0.76
413,top_model_weights_no_3d,sheep,0.68
414,top_model_weights_no_3d,sheep,0.685
415,top_model_weights_no_3d,sheep,0.665
416,top_model_weights_no_3d,sheep,0.705
417,top_model_weights_no_3d,sheep,0.745
418,top_model_weights_no_3d,sheep,0.655
419,top_model_weights_no_3d,sheep,0.735
420,top_model_weights_no_3d,sheep,0.7
421,top_model_weights_no_3d,sheep,0.685
422,top_model_weights_no_3d,sheep,0.71
423,top_model_weights_no_3d,sheep,0.7
424,top_model_weights_no_3d,sheep,0.7
425,top_model_weights_no_3d,sheep,0.71
426,top_model_weights_no_3d,sheep,0.71
427,top_model_weights_no_3d,sheep,0.755
428,top_model_weights_no_3d,sheep,0.59
429,top_model_weights_no_3d,sheep,0.725
430,top_model_weights_no_3d,sheep,0.645
431,top_model_weights_no_3d,sheep,0.685
432,top_model_weights_no_3d,sheep,0.715
433,top_model_weights_no_3d,sheep,0.79
434,top_model_weights_no_3d,sheep,0.73
435,top_model_weights_no_3d,sheep,0.685
436,top_model_weights_no_3d,sheep,0.67
437,top_model_weights_no_3d,sheep,0.715
438,top_model_weights_no_3d,sheep,0.625
439,top_model_weights_no_3d,sheep,0.645
440,top_model_weights_no_3d,sheep,0.675
441,top_model_weights_no_3d,sheep,0.665
442,top_model_weights_no_3d,sheep,0.615
443,top_model_weights_no_3d,sheep,0.66
444,top_model_weights_no_3d,sheep,0.67
445,top_model_weights_no_3d,sheep,0.69
446,top_model_weights_no_3d,sheep,0.7
447,top_model_weights_no_3d,sheep,0.62
448,top_model_weights_no_3d,sheep,0.695
449,top_model_weights_no_3d,sheep,0.675
450,top_model_weights_no_3d,sheep,0.645
451,top_model_weights_no_3d,sheep,0.615
452,top_model_weights_no_3d,sheep,0.74
453,top_model_weights_no_3d,sheep,0.695
454,top_model_weights_no_3d,sheep,0.675
455,top_model_weights_no_3d,sheep,0.63
456,top_model_weights_no_3d,sheep,0.685
457,top_model_weights_no_3d,sheep,0.695
458,top_model_weights_no_3d,sheep,0.685
459,top_model_weights_no_3d,sheep,0.68
460,top_model_weights_no_3d,sheep,0.64
461,top_model_weights_no_3d,sheep,0.71
462,top_model_weights_no_3d,sheep,0.68
463,top_model_weights_no_3d,sheep,0.675
464,top_model_weights_no_3d,sheep,0.605
465,top_model_weights_no_3d,sheep,0.69
466,top_model_weights_no_3d,sheep,0.72
467,top_model_weights_no_3d,sheep,0.695
468,top_model_weights_no_3d,sheep,0.695
469,top_model_weights_no_3d,sheep,0.68
470,top_model_weights_no_3d,sheep,0.68
471,top_model_weights_no_3d,sheep,0.645
472,top_model_weights_no_3d,sheep,0.625
473,top_model_weights_no_3d,sheep,0.73
474,top_model_weights_no_3d,sheep,0.685
475,top_model_weights_no_3d,sheep,0.745
476,top_model_weights_no_3d,sheep,0.69
477,top_model_weights_no_3d,sheep,0.67
478,top_model_weights_no_3d,sheep,0.68
479,top_model_weights_no_3d,sheep,0.705
480,top_model_weights_no_3d,sheep,0.665
481,top_model_weights_no_3d,sheep,0.66
482,top_model_weights_no_3d,sheep,0.695
483,top_model_weights_no_3d,sheep,0.73
484,top_model_weights_no_3d,sheep,0.65
485,top_model_weights_no_3d,sheep,0.67
486,top_model_weights_no_3d,sheep,0.695
487,top_model_weights_no_3d,sheep,0.7
488,top_model_weights_no_3d,sheep,0.665
489,top_model_weights_no_3d,sheep,0.69
490,top_model_weights_no_3d,sheep,0.65
491,top_model_weights_no_3d,sheep,0.685
492,top_model_weights_no_3d,sheep,0.68
493,top_model_weights_no_3d,sheep,0.66
494,top_model_weights_no_3d,sheep,0.725
495,top_model_weights_no_3d,sheep,0.62
496,top_model_weights_no_3d,sheep,0.695
497,top_model_weights_no_3d,sheep,0.65
498,top_model_weights_no_3d,sheep,0.635
499,top_model_weights_no_3d,sheep,0.72
